식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
61466,치킨마루,강일점,강동구,,4.2834283,N,0.219,0.04,,,4.11
61469,탕가네생고기김치찌개,서울대점,관악구,,4.0135205,N,0.216,0.28,,,4.18
61470,소랑도,,광진구,,4.2510872,N,0.216,0.1,,,4.39
61471,벤즈바,,관악구,,0.910544,N,0.201,,,,4.5
61472,엄마손닭칼국수,,광진구,,4.0951084,Y,0.218,0.02,,,4.57
61473,감탄떡볶이,가양역점,강서구,,4.2323536,Y,0.232,0.03,,,4.32
61474,가나면옥,롯데백화점관악점,관악구,,4.1162244,Y,0.217,0.01,,,4.22
61475,본도시락,수서역점,강남구,,4.3492271,N,0.201,0.14,,,4.54
61476,역삼 통고집,역삼본점,강남구,,4.2297004,N,0.249,0.27,,,4.02
61477,삼양동순대떡볶이,,강북구,,4.3431919,Y,0.233,0.33,,,4.15
61478,석배,,강남구,,4.2070092,N,0.264,0.04,,,4.46
61479,한보식당,,강남구,,3.2736601,Y,0.182,,,,4.34
61480,금화다방,,강북구,,0.910544,N,0.189,,,,
61482,포몬스,수유점,강북구,,4.3763651,N,0.266,0.33,,,4.38
61483,명동칼국수,강남점,강남구,,4.1810571,N,0.216,0.26,,,4.38
61484,빅소이,,강서구,,4.3771882,N,0.281,0.33,,,4.45
61485,삼일민물장어,,광진구,안심식당(2020),4.2670995,N,0.214,0.33,,,4.34
61486,배바우,,관악구,,4.3814137,Y,0.381,0.18,,,4.67
61488,특허떡볶이 화곡싸롱,화곡본점,강서구,,4.5066182,N,0.246,0.26,,,4.44
61489,도도삼겹,,광진구,,4.2323536,Y,0.233,0.03,,,4.53
61490,신짱구비어,,강북구,,0.910544,N,0.2,,,,4.24
61491,더시원카페,,강남구,,3.8151542,N,0.216,0.01,,,4.73
61492,노가리와 호프,공항점,강서구,,4.4073686,N,0.251,0.04,,,4.24
61493,무한리필,,강북구,,4.0404971,N,0.236,0.01,,,4.25
61494,구정만두칼국수,,강남구,,4.2803609,N,0.215,0.09,,,4.02
61495,짜글이천국,방화점,강서구,,4.2453604,N,0.201,0.06,,,4.49
61496,라밥,신대방2호점,관악구,,4.362788,Y,0.233,0.33,,,4.2
61497,눈물떡볶이,,광진구,,4.4486679,Y,0.218,0.08,,,4.36
61498,순곱이네,미아점,강북구,,0.0186212,,0.029,,,,
61499,농민백암왕순대,,강남구,,4.3316283,Y,0.234,0.33,,,4.48
61501,일품오리전문점,,강서구,,4.1501479,N,0.248,0.07,,,4.39
61502,경복궁,,광진구,안심식당(2020),4.0272434,N,0.215,0.02,,,4.16
61503,피맛골지지미,,강서구,,0.910544,N,0.214,,,,4
61504,대치하루,,강남구,,4.3642203,N,0.23,0.11,,,4.3
61505,성가네불낙지,중곡점,광진구,,4.4182746,N,0.292,0.04,,,4.44
61506,데일리푸드,,강서구,안심식당(2021),4.2574033,N,0.163,0.04,,,3.61
61507,만나분식,,강남구,,4.4286829,Y,0.361,0.33,4,,4.22
61508,뽀끼랑,,광진구,,4.0717341,N,0.215,0.02,,,4.22
61509,엠바,,강서구,,0.910544,N,0.189,,,,
61512,물꼬기,,강북구,,4.2605696,Y,0.282,0.33,,,4.35
61513,와와,,강동구,,0.910544,N,0.215,,,,4.06
61514,이모네 포차,,강서구,,4.0951084,Y,0.361,0.02,,,4.5
61515,오동도,,강동구,,4.3249986,Y,0.281,0.11,,,4.23
61516,자주식당,,강남구,,4.3224184,Y,0.233,0.33,,,4.46
61517,코후쿠,,광진구,,4.5028276,N,0.203,0.33,,,4.55
61518,딱이야,,광진구,,4.0210963,N,0.215,0.03,,,4.06
61519,왕노가리호프,중곡점,광진구,,4.0951084,Y,0.345,0.02,,,4.23
61520,달려라 달봉이 떡볶이,수유점,강북구,,4.4466928,N,0.2,0.06,,,4.31
61521,정상호당진아구동태찜탕,미아사거리역점,강북구,,4.412974,Y,0.361,0.18,,,4.37
61522,전주집,,강남구,,4.265944,Y,0.361,0.26,,,4.17
61524,미각식당,,강동구,,3.8151542,N,0.204,0.01,,,
61526,장어촌,,강서구,,4.4632401,Y,0.332,0.33,,,4.53
61527,엄마 손맛 지짐이,,강동구,,4.2073091,N,0.217,0.2,,,4.71
61528,해남식당,,관악구,,3.8151542,N,0.213,0.01,,,3.5
61529,첨밀밀,,관악구,,0.910544,N,0.204,,,,
61530,교촌치킨,암사1호점,강동구,,4.4287456,N,0.216,0.22,,,4.28
61531,스시야,,광진구,,4.0717341,N,0.215,0.02,,,4.08
61532,장터순대국,,관악구,,4.2617441,Y,0.232,0.04,,,4.3
61533,산수고원,,강동구,안심식당(2020),4.2303809,N,0.264,0.33,,,4.16
61534,돈킴,,강북구,,4.4128273,N,0.266,0.33,,,4.46
61535,모서리에 커피집,,광진구,,4.4896943,Y,0.275,0.33,,,4.54
61536,황금성,,강동구,,4.4445897,Y,0.218,0.03,,,4.4
61537,아띠랑스,,강북구,,4.5398863,N,0.236,0.33,,,4.36
61538,황금오리농장,,강서구,,4.3290891,N,0.281,0.16,,,4.53
61539,오닭꼬치,,강북구,,0.0186212,,0.029,,,,
61540,산꼼장어와쭈꾸미,,강남구,,4.382612,N,0.249,0.32,,,4.2
61542,본도시락,강서구청사거리점,강서구,,4.4756695,N,0.244,0.33,,,4.1
61543,전주콩뿌리콩나물국밥,,강남구,,4.3669004,Y,0.233,0.32,,,4.33
61545,황금밥상,,강서구,,4.2378208,Y,0.36,0.06,,,4.14
61547,본죽,청담점,강남구,,4.3400819,N,0.215,0.11,4,,4.25
61549,대진오리,,관악구,,0.910544,N,0.216,,,,4.75
61551,마왕족발,미아사거리점,강북구,,4.3476977,N,0.216,0.16,,,4.42
61552,전라도맛집,,관악구,,4.3849428,Y,0.231,0.33,,,4.45
61553,을지로골뱅이와진짜생맥주가만났을때,,강남구,,4.1340264,N,0.201,0.07,,,4.5
61555,트라토리아 안젤로,,강북구,,4.1398128,N,0.251,0.03,,,3.9
61556,양철집,,강남구,,4.2003579,Y,0.393,0.33,,,4.15
61557,소소카페,,강북구,,4.3167117,N,0.274,0.14,,,4.45
61558,숯불서서갈비,,강서구,,4.0717341,N,0.2,0.02,,,4.35
61559,비미남경,,강북구,,4.2552844,N,0.216,0.21,,,4.55
61560,차돌집,,강서구,,4.3065646,N,0.216,0.33,,,4.33
61561,마마김밥,,강북구,,4.3606991,Y,0.237,0.1,,,4.5
61562,자갈치꼼장어막회,자양본점,광진구,,3.8151542,N,0.198,0.01,,,3.5
61564,한솔구이,,광진구,,4.2453604,N,0.215,0.06,,,4.26
61565,누들보쌈배달만족,,강서구,,0.0186212,,0.029,,,,
61566,The맛있는밥집고시뷔페,,관악구,,0.910544,N,0.165,,,,4.31
61567,해월양꼬치샤브샤브,건대본점,광진구,,4.4192919,N,0.248,0.33,,,4.26
61568,필김밥,화곡점,강서구,,3.8151542,N,0.201,0.01,,,4.44
61569,김밥천국,신림2호점,관악구,,4.1162244,Y,0.36,0.01,,,4.21
61570,알렉산더플라츠,,광진구,,4.4925985,N,0.258,0.33,,,4.68
61572,석봉토스트,송정역점,강서구,,4.3984559,N,0.232,0.07,,,4.3
61574,바플러스와인코드,,강남구,,3.9850992,Y,0.247,0.01,,,4.29
61575,골목냉면애돈까스,광산점,강북구,,4.1785704,Y,0.377,0.3,,,4.56
61576,밀알카페,,강서구,,0.910544,N,0.215,,,,4.16
61577,수바,,광진구,,4.0067571,N,0.229,,,,3.88
61578,엔제리너스,김포공항역사점,강서구,,4.2250473,N,0.199,0.06,,,4.43
61579,부안집,건대입구역점,광진구,,0.0186212,,0.029,,,,
61580,브이커피,,강서구,,0.910544,N,0.189,,,,
61581,카페 아르무아,,광진구,,4.4011191,N,0.249,0.33,,,4.41
61582,커피드림,,강서구,,3.9668837,Y,0.254,0.02,,,4.5
61583,우주곰커피건대점,,광진구,,0.0186212,,0.029,,,,
61584,커피볶는 곤이네집,,강서구,,4.2296713,N,0.282,0.33,,,4.51
61585,시골밥상,,강북구,,0.0186212,,0.029,,,,
61586,홍코너,테크노마트점,광진구,안심식당(2020),4.2151204,N,0.212,0.17,,,4.51
61588,이디야커피,염창동점,강서구,,3.8055932,Y,0.241,,,,4.27
61589,국교떡볶이,,광진구,,4.2834283,N,0.216,0.04,,,4.43
61591,큰집닭강정,미아점,강북구,,4.1340264,N,0.215,0.07,,,4.33
61592,수다커피,,광진구,,2.8120699,N,0.253,,,,4.86
61594,곱창마을,,강남구,,4.1895591,N,0.216,0.13,,,4.5
61595,카흐베하네,중곡점,광진구,,4.3454314,Y,0.309,0.07,,,4.51
61596,희경이네 아구찜(탕) 코다리짱 코다리짱,,강북구,,4.0717341,N,0.2,0.02,,,4.31
61597,네모오징어,선릉점,강남구,,3.9292111,Y,0.282,0.27,,,4.42
61598,진만두,,강북구,,0.0186212,,0.029,,,,
61599,하남돼지집,미아뉴타운점,강북구,,4.3410166,N,0.217,0.13,,,4.38
61600,이디야커피,,광진구,,4.4315281,Y,0.274,0.07,,,4.46
61602,예전지짐이,,강동구,,0.910544,N,0.215,,,,4.14
61603,스타짬뽕,,강북구,,4.23171,N,0.201,0.23,,,4.39
61604,봉구삼촌,,광진구,,4.4346975,N,0.233,0.33,,,4.26
61605,카페산다,,관악구,,4.3336029,N,0.216,0.33,4,,4.43
61606,소뚜레,,강동구,,4.0717341,N,0.198,0.02,,,3.5
61607,오늘맑음,,강북구,,4.3093412,N,0.262,0.33,,,4.16
61609,호식이두마리치킨,난곡시티점,관악구,,3.8151542,N,0.2,0.01,,,4.23
61610,본죽,강동구청점,강동구,,4.3476977,N,0.216,0.16,,,4.55
61611,동래집,수유점,강북구,,0.0186212,,0.029,,,,
61612,민스카페,,광진구,,4.230838,N,0.216,0.13,,,4.38
61613,최상의우동,,관악구,,4.1340264,N,0.217,0.07,,,4.77
61616,이디야커피,자양동점,광진구,,4.3501303,N,0.24,0.03,,,4.69
61617,명커피숍,,관악구,,0.910544,N,0.144,,,,2
61618,쭈꾸미도사,천호본점,강동구,,4.3173066,N,0.252,0.33,,,4.45
61619,달아그데,,광진구,,0.0186212,,0.029,,,,
61620,이디야커피,신대방역점,관악구,,4.5214828,N,0.238,,,,4.34
61621,옹심이메밀칼국수,상일동점,강동구,,4.0717341,N,0.2,0.02,,,4.26
61622,공돌이부엌,압구정로데오점,양천구,,4.3938051,N,0.2,0.33,,,4.58
61623,행복플러스가게,상상나라점,광진구,,3.6179432,N,0.237,,,,
61624,치킨더샵,,관악구,,4.3914797,N,0.282,0.33,,,4.53
61625,코지,,강동구,,0.910544,N,0.2,,,,4.25
61627,칼레오커피로스터스,,광진구,,4.4799748,Y,0.234,0.33,,,4.63
61628,호세아오리바베큐,난곡점,관악구,,4.2803609,N,0.208,0.09,,,
61631,더블미트 함흥냉면,,관악구,,4.1340264,N,0.216,0.07,,,4.47
61632,으악새,본점,강남구,,4.3934827,N,0.216,0.33,,,4.37
61633,문성골퓨전포차,,관악구,,0.910544,N,0.2,,,,4.34
61636,현경,본점,강남구,,4.3038733,N,0.251,0.33,,,4.14
61637,장수허브왕족발,,관악구,,4.0355022,N,0.247,0.03,,,4.34
61638,이즈빈,,광진구,,4.0724586,Y,0.297,0.07,,,4.19
61639,넘버원,,강남구,,0.910544,N,0.216,,,,4.5
61640,24시서울곰탕,,관악구,,3.9410931,N,0.216,0.27,,,4.23
61641,지리산,,강남구,,4.2617441,Y,0.232,0.04,,,4.14
61643,이삭토스트,강동성심병원점,강동구,,4.3984077,N,0.24,0.14,,,4.57
61644,어반레빗,,강남구,,4.3307253,N,0.249,0.33,,,4.31
61646,온정담,,강동구,,0.0186212,,0.029,,,,
61647,부뚜막,,강남구,,4.2617441,Y,0.232,0.04,,,4.21
61648,홍두깨칼국수,,강서구,,4.271314,N,0.251,0.02,,,4.39
61652,오징어청춘,역삼점,강남구,,4.2466568,Y,0.281,0.33,,,4.14
61655,돼지마을한식,,관악구,,0.910544,N,0.217,,,,5
61657,락원포차,,강북구,,0.910544,N,0.201,,,,4.5
61659,금나라포차,,관악구,,0.910544,N,0.235,,,,4.75
61660,찜앤탕,본점,강북구,,4.3501303,N,0.239,0.03,,,4.25
61661,이디야커피,공항시장역점,강서구,,4.3658511,Y,0.256,0.02,4.5,,4.27
61662,공차,건대점,광진구,,4.2268068,N,0.216,0.33,,,4.3
61663,파스타먹는집7,,관악구,,4.3062901,N,0.217,0.33,,,4.64
61664,토이강정,강북1호점,강북구,,4.0951084,Y,0.36,0.02,,,4.18
61665,서울떡볶이,,광진구,,4.2257359,Y,0.397,0.08,,,4.38
61667,테라스,,강남구,,4.0717341,N,0.215,0.02,,,4.13
61669,흑룡강성,,관악구,,4.3321799,N,0.216,0.33,,,4.23
61670,카페원데이,우장산점,강서구,,4.22166,N,0.216,0.19,,,4.5
61671,문참치,,강남구,,4.4467987,N,0.282,0.33,,,4.55
